abind
acepack
ada
amap
arules
arulesViz
assertthat
base
bdsmatrix
BH
biclust
bit
bit64
bitops
boot
cairoDevice
car
caret
caTools
cba
chron
CircStats
class
cluster
clv
coda
codetools
coin
colorspace
compiler
corrplot
covr
crayon
curl
DAAG
data.table
datasets
DBI
deldir
dendextend
DEoptimR
descr
devtools
dichromat
digest
diptest
doBy
doParallel
dplyr
dtw
e1071
ellipse
evaluate
excel.link
fastmatch
fBasics
ff
ffbase
fields
flexclust
flexmix
FNN
foreach
foreign
formatR
Formula
fpc
fts
gapminder
gclus
gdata
geoR
geoRglm
ggdendro
ggplot2
git2r
goftest
gplots
graphics
grDevices
grid
gridBase
gridExtra
gss
gstat
gsubfn
gtable
gtools
gWidgets
gWidgetsRGtk2
haven
hexbin
highr
hmeasure
Hmisc
htmltools
httpuv
httr
igraph
installr
intervals
irlba
iterators
itertools
its
jpeg
jsonlite
kernlab
KernSmooth
knitr
labeling
Lahman
lattice
latticeExtra
lazyeval
lme4
lmtest
lubridate
magrittr
mapdata
mapproj
maps
maptools
markdown
MASS
Matrix
MatrixModels
mclust
memisc
memoise
methods
mgcv
mice
microbenchmark
mime
miniCRAN
minqa
mnormt
modeltools
mondate
multcomp
munsell
mvtnorm
nlme
nloptr
NLP
NMF
nnet
nycflights13
odfWeave
openssl
openxlsx
parallel
party
pbkrtest
PBSmapping
pkgmaker
playwith
plm
plotrix
plyr
pmml
png
polspline
polyclip
prabclus
praise
proto
proxy
psych
qap
quadprog
quantreg
R6
RandomFields
RandomFieldsUtils
randomForest
raster
rattle
RColorBrewer
Rcpp
RcppEigen
readr
readxl
registry
reshape
reshape2
rex
rgdal
rgeos
rggobi
RGtk2
RGtk2Extras
RH2
rJava
RJDBC
rjson
rmarkdown
rms
RMySQL
rngtools
robustbase
ROCR
RODBC
rpart
rpart.plot
RPostgreSQL
RSQLite
rstudioapi
sandwich
scales
scatterplot3d
seriation
slam
SnowballC
sp
spacetime
spam
SparseM
spatial
spatstat
splancs
splines
sqldf
stabledist
stats
stats4
stringi
stringr
strucchange
survival
svUnit
tables
tcltk
tensor
testthat
TH.data
tidyr
timeDate
timeSeries
tis
tm
tools
translations
trimcluster
tseries
TSP
utils
vcd
verification
whisker
withr
wskm
XML
xml2
xtable
xts
yaml
zoo
